Unnamed: 0,date,time,tweet,tweet_translated,tweet_traducido,etiqueta_sentimiento,score_sentimiento
364,2023-05-30,,eficiencia,efficiency,efficiency,Neutral,0.46915597
365,2023-05-31,,muchas gracias nunca contesto afounadamente quedado resuelto,"Thank you very much, I never answer struggling","Thank you very much, I never answer struggling",Positive,0.9204987
366,2023-05-31,,abre cuenta hey obten boleto dorado cada mes ganar httpst coj45mnogz recomiendo muchisimo cuenta hecho resenan muy bien varios youtubers finanzas,Open hey account obtained gold ticket every month win,Open hey account obtained gold ticket every month win,Neutral,0.60466826
367,2023-05-31,,muchas gracias boleto dorado smilingface,Thank you very much SmilingFace golden ticket,Thank you very much SmilingFace golden ticket,Positive,0.98359054
368,2023-06-01,,gracias apoacion,Thanks Apoacion,Thanks Apoacion,Neutral,0.5681376
369,2023-06-01,,llamo servicioalcliente mexico verdad banco debe tratar cliente mas meter dinero aprendan,I call the service mexico truth bank must treat more client to put money learn,I call the service mexico truth bank must treat more client to put money learn,Neutral,0.6842119
370,2023-06-01,,buen mas facil usted obtenga credito alguna caja popular peor lucha hace,"good easier you get any popular credit, worse fight makes","good easier you get any popular credit, worse fight makes",Neutral,0.4614284
371,2023-06-02,,gracias,gracias,gracias,Neutral,0.6270798
372,2023-06-02,,gracias quedo espera,"Thank you, I wait","Thank you, I wait",Positive,0.67445153
373,2023-06-02,,deje dm solicitando valioso apoyo,leave DM requesting valuable support,leave DM requesting valuable support,Neutral,0.5557417
374,2023-06-02,,muchas gracias mes gratis,Thank you very much free month,Thank you very much free month,Positive,0.98721004
375,2023-06-03,,gracias envie duda,"Thank you, send doubt","Thank you, send doubt",Positive,0.70015836
376,2023-06-03,,gracias responder da mucho gusto solucionado rapido ojala caso crossedfingersmediumlightskintonesaludos,"Thanks Answer, it is very fast solved pleasure, I hope CrossedfingersMediumlightskintonesales","Thanks Answer, it is very fast solved pleasure, I hope CrossedfingersMediumlightskintonesales",Positive,0.9695072
377,2023-06-03,,gracias lic hace tres anos si usted dice deben negar volvere hacerlo muy amable atencion abrazo,Thanks Lic three years ago if you say they must deny it will make it very kind attention hug,Thanks Lic three years ago if you say they must deny it will make it very kind attention hug,Positive,0.5971435
378,2023-06-03,,muchas gracias si hare nuevo abrazo fuee hearthands,Thank you very much if I will make a new Hands Strong Hug Hug,Thank you very much if I will make a new Hands Strong Hug Hug,Positive,0.9723999
379,2023-06-03,,favor gracias,Please thank you,Please thank you,Positive,0.81473
380,2023-06-05,,gracias,gracias,gracias,Neutral,0.6270798
381,2023-06-05,,muchas gracias responderacabo lograr desbloqueo,Thank you very much to answer unlocking,Thank you very much to answer unlocking,Positive,0.9533174
382,2023-06-05,,espero si,I hope if,I hope if,Neutral,0.6034269
383,2023-06-06,,jajajajjaja vic trabajo hey cualquier duda dudes mandarme mensajitohearthandslightskintone,hahahahaha vic work hey any questions you doubt to send me mesajitohearthandslightskintone,hahahahaha vic work hey any questions you doubt to send me mesajitohearthandslightskintone,Neutral,0.72153366
384,2023-06-07,,gracias,gracias,gracias,Neutral,0.6270798
385,2023-06-07,,buenos disenos,Good dissatisfaction,Good dissatisfaction,Positive,0.6375271
387,2023-06-10,,hey siempre control finanzas ahora tambien movimientos gracias notificaciones qu...,hey always control finance now also movements thanks notifications qu ...,hey always control finance now also movements thanks notifications qu ...,Neutral,0.84542316
388,2023-06-12,16:52:11,gracias pendiente informacion,Thank you pending information,Thank you pending information,Positive,0.70579827
389,2023-06-13,20:36:26,muy feliz muchos anos santander free cambie heybanco tarjeta parecio chulada recomiendo ampliamente,Very happy many years Santander Free Cambie Heybanco Card seemed cool I recommend widely,Very happy many years Santander Free Cambie Heybanco Card seemed cool I recommend widely,Positive,0.9906102
390,2023-06-15,22:51:17,caso comunique 81 4392 2626 alli resolvieron founa sencillo rapido suee,Case communicate 81 4392 2626 ALLI resolved Funa Fast,Case communicate 81 4392 2626 ALLI resolved Funa Fast,Neutral,0.8486862
391,2023-06-15,18:35:12,mas facil now saque tarjetas credito,EASY NOW LOOK CREDIT CARDS,EASY NOW LOOK CREDIT CARDS,Neutral,0.5897189
392,2023-06-16,19:41:04,perfecto ire punto hey gracias bebe lol,Perfect Irre Punto Hey Thanks Baby Lol,Perfect Irre Punto Hey Thanks Baby Lol,Positive,0.8412605
393,2023-06-16,18:03:36,probado 4 bancos tradicionales diferentes momento mejor manejando msi sido checkmarkbuttonte permite ver exactamente cuanto debes total checkmarkbutton da lista pagos futuros tendras hacer mes mes checkmarkbutton da cashback 2 efectivo,Tabled 4 different traditional banks moment better handling MSI,Tabled 4 different traditional banks moment better handling MSI,Neutral,0.74622554
394,2023-06-17,18:00:08,oye fullmoonface excelente tiempo respuesta amable personal centro atencion heartsuit smilingfacewithhearts,Hey FullMoonFace Excellent Time Friendly Answer Center Center Heartsuit SmilingFacewithhearts,Hey FullMoonFace Excellent Time Friendly Answer Center Center Heartsuit SmilingFacewithhearts,Positive,0.86254215
395,2023-06-18,17:29:39,listo muchas gracias,Ready thank you very much,Ready thank you very much,Positive,0.94915265
396,2023-06-19,19:52:35,gracias,gracias,gracias,Neutral,0.6270798
397,2023-06-19,14:43:55,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
398,2023-06-19,15:36:18,servie,served,served,Neutral,0.50650537
399,2023-06-19,13:32:11,tan sencillo hacer tipo movimientos celular ademas super tasa rendimiento...,so simple to make cellular movements also super rate performance ...,so simple to make cellular movements also super rate performance ...,Positive,0.62581515
400,2023-06-20,18:20:40,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
401,2023-06-20,22:22:06,mande dm gracias,MANDEN DM THANKS,MANDEN DM THANKS,Positive,0.64926755
402,2023-06-20,21:26:18,muchas gracias si entrare levantar repoe,Thank you very much if I will lift repoe,Thank you very much if I will lift repoe,Positive,0.94742364
403,2023-06-20,06:47:43,mas coqueta beneficios reales fire,more flirtatious real benefits Fire,more flirtatious real benefits Fire,Positive,0.60600233
404,2023-06-20,06:10:33,listos flexedbicepsmediumlightskintoneheybanco palnoe2021,listos flexedbicepsmediumlightskintoneheybanco palnoe2021,listos flexedbicepsmediumlightskintoneheybanco palnoe2021,Neutral,0.9105851
405,2023-06-21,21:22:49,gracias arreglado,Thanks arranged,Thanks arranged,Positive,0.64071846
406,2023-06-21,16:20:21,gracias smilingfacewithsmilingeyessmilingfacewithopenhands,gracias smilingfacewithsmilingeyessmilingfacewithopenhands,gracias smilingfacewithsmilingeyessmilingfacewithopenhands,Positive,0.77322006
407,2023-06-21,22:03:28,muchas gracias resuelto gracias sopoe excelente servicio,"Thank you very much, thank you sopoe excellent service","Thank you very much, thank you sopoe excellent service",Positive,0.9820472
408,2023-06-21,03:47:49,muchas gracias felicitacion smilingfacewithopenhands,Thank you very much congratulations smilingfacewithopenhands,Thank you very much congratulations smilingfacewithopenhands,Positive,0.986418
409,2023-06-21,16:32:41,si nunca habia tipo situacion metodos pago hace increible operacion tan sencilla pagar tarjeta pagina web conviee toda mala experiencia usuario servicio,"If there were never a situation, Payment Methods, it makes incredible operation so simple to pay website card all bad user experience service","If there were never a situation, Payment Methods, it makes incredible operation so simple to pay website card all bad user experience service",Positive,0.55798787
410,2023-06-22,16:25:12,vaaaaa gracias dato,Vaaaa thanks data,Vaaaa thanks data,Positive,0.71077585
411,2023-06-22,15:16:55,buen saque carro usado merkauto autorizaron credito lunes 19 junio fecha llaman firmar contrato factura puedo saber listo tardando mucho proceso gracias,good serve used car mekauto authorized credit Monday 19 Date call signing contract invoice I can know ready for a lot of process thanks,good serve used car mekauto authorized credit Monday 19 Date call signing contract invoice I can know ready for a lot of process thanks,Positive,0.79315764
412,2023-06-22,20:38:17,esten bien atentos llega gracias compao correo vean quieren llegar ponganse listos,They are well attentive arrives thanks Como mail see they want to arrive get ready,They are well attentive arrives thanks Como mail see they want to arrive get ready,Positive,0.89439505
413,2023-06-23,17:14:56,amo heybanco bien cabron,love heybanco well bastard,love heybanco well bastard,Neutral,0.398107
414,2023-06-24,02:10:01,fiiiin modificaron app detecta huella bonita seccion metricas gastos ah pague temas luz,Fiiiin modified app detects beautiful footprint metric section expenses ah pays topics light,Fiiiin modified app detects beautiful footprint metric section expenses ah pays topics light,Positive,0.7342855
415,2023-06-27,07:20:57,verdadsparkles,VERDADDSPARKLES,VERDADDSPARKLES,Neutral,0.67587197
416,2023-06-28,17:42:50,gracias,gracias,gracias,Neutral,0.6270798
417,2023-06-28,04:45:09,gracias hice quedo raisinghandslightskintone,Thanks I did RaisinghandslightsKintone,Thanks I did RaisinghandslightsKintone,Positive,0.6264782
418,2023-06-28,22:48:04,resolvio volviendo instalar app,I resolved again to install app,I resolved again to install app,Neutral,0.72198
419,2023-06-28,17:28:12,gracias ahora envio,Thank you now shipping,Thank you now shipping,Positive,0.8769912
420,2023-06-29,17:45:59,buen real,good real,good real,Positive,0.5400787
421,2023-06-29,03:03:50,ps aplicacion mejor visto hsbc banamex nel tal heybanco probado,PS Better Application HSBC BANAMEX NEL TALE HEYBANCO TES,PS Better Application HSBC BANAMEX NEL TALE HEYBANCO TES,Neutral,0.76916564
422,2023-06-30,17:26:15,muchas gracias sparkles,Thank you very much Sparkles,Thank you very much Sparkles,Positive,0.9728361
423,2023-06-30,19:02:11,abri cuenta amo heartsuit si puedes recomiendo inversion hey ahi ahorros si hey pro mejores rendimientos starstruck,Open AmRTSWITCH AMO account if you can recommend investment hey ahi savings if hey pro better starstruck yields,Open AmRTSWITCH AMO account if you can recommend investment hey ahi savings if hey pro better starstruck yields,Neutral,0.64587367
424,2023-07-01,04:07:54,respuesta favorable gracias,FAVORABLE ANSWER THANKS,FAVORABLE ANSWER THANKS,Positive,0.9550153
425,2023-07-02,15:01:49,amamos sparklespinkheart,We love Sparklespinkheart,We love Sparklespinkheart,Positive,0.9676018
426,2023-07-03,20:36:54,mas techreo came super bien ademas ahora estan dando regalos solo inveir seguro muy facil,More Trechreo Came Super good also are now giving gifts just invent very easy insurance,More Trechreo Came Super good also are now giving gifts just invent very easy insurance,Positive,0.9685362
427,2023-07-04,19:32:32,da mucho gusto pae gran familia finsus smilingfacewithsunglassesblueheart,da Mucho gust pae gran Finsus Smilinghingwhickssunglashblueheart,da Mucho gust pae gran Finsus Smilinghingwhickssunglashblueheart,Neutral,0.87268275
428,2023-07-04,16:46:43,gracias ser pae gran familia finsus smilingfacewithsunglassesoncomingfist,Thank you to be a great family Finsus smilingfacewithsunglassecoming,Thank you to be a great family Finsus smilingfacewithsunglassecoming,Positive,0.98143035
429,2023-07-04,16:23:59,hace pocos disponible,A few available,A few available,Neutral,0.8057014
430,2023-07-04,15:27:39,finsus siempre gustado mucho aprovechando dejo enlace referido utiliza codigo castillo79570,Finsus always liked taking advantage of I leave referred link uses castle code79570,Finsus always liked taking advantage of I leave referred link uses castle code79570,Positive,0.61680573
431,2023-07-04,14:11:14,pedida si vale pena precio,requested if it is worth a price,requested if it is worth a price,Neutral,0.8101159
432,2023-07-04,09:42:38,duda,duda,duda,Neutral,0.5049099
433,2023-07-05,04:08:16,intenta buenazo,Try good,Try good,Positive,0.4906863
434,2023-07-06,05:06:15,ay suena super bien justo anda gustando mucho ahorita nu pae hacer crecer dinero jajk inversion quiero entrarle mas temaeyes mas fan neobanks definitivamente fin mande alv banamex abrire heybanco nerdfacepinkheart,"Oh, it sounds super good just, I will like it very right now to grow money haha investment I want","Oh, it sounds super good just, I will like it very right now to grow money haha ​​investment I want",Positive,0.9890274
435,2023-07-06,02:59:57,facil entro pagos elijo tarjeta elijo plazo 3 meses 0 aceptar token backhandindexpointingright error pagado problemas puedo hacer operaciones token problemas,EASY I ENTER PAYMENTS I choose Card I choose Term 3 months 0 Accept Token BackhandindexPointingRight Pagged Error I can do token operations token problems,EASY I ENTER PAYMENTS I choose Card I choose Term 3 months 0 Accept Token BackhandindexPointingRight Pagged Error I can do token operations token problems,Neutral,0.64981586
436,2023-07-06,02:24:11,smilingfacewithhearteyes nuevo diseno tdc mamalon chavos manraisinghandmediumskintone tan pronto regrese usa voy solicitar nuevo diseno carisimo envio cieo obama eyespor cieo programa recompensas bastante aceptable eh lightbulbhttpst cof79gxxxqtb,Smilingfacewithhearteyes New design TDC Mamalon Chavos Manraisinghandmediumskintone As soon as you return use I will request a new carysimal dissen,Smilingfacewithhearteyes New design TDC Mamalon Chavos Manraisinghandmediumskintone As soon as you return use I will request a new carysimal dissen,Neutral,0.76924837
437,2023-07-06,02:11:00,loudspeaker tarjetas credito tdc anualidad disenos chingones policecarlightaunque usar tdc debes aprender usarla papucho loudspeaker personalmente uso va muy bien aceptan incluso gabacho eyescheca,LOUDSPEAKER Cards CREDIT TDC ANNUALITY DIRECTS CHINGONES POLICECARLIGHTAUNQU,LOUDSPEAKER Cards CREDIT TDC ANNUALITY DIRECTS CHINGONES POLICECARLIGHTAUNQU,Neutral,0.900688
438,2023-07-07,16:18:25,muchas gracias justo llame hace dos aclaracion espero tan tardado salga bien,Thank you very much just called two clarification I hope so hard to go well,Thank you very much just called two clarification I hope so hard to go well,Positive,0.89309174
439,2023-07-07,01:24:12,gracias acabo mandar correo,Thanks I just send mail,Thanks I just send mail,Neutral,0.6895407
440,2023-07-08,05:58:28,varias meses siendo usuario heypro fin dieron menos puntos mas taza preferencial inversion,Several months being a heypro user ended less points plus preferential cup investment,Several months being a heypro user ended less points plus preferential cup investment,Neutral,0.5316624
441,2023-07-09,20:12:00,perfecto estare atenta muchas gracias,I will be attentive thank you very much,I will be attentive thank you very much,Positive,0.95286953
442,2023-07-10,17:49:42,rifadisimo personal si gusto,rifadisimo personally like,rifadisimo personally like,Neutral,0.7120856
443,2023-07-11,23:55:24,si sirvio muchas gracias hearthandsmediumskintone,If it served thank you Hearthandsmediumskintone,If it served thank you Hearthandsmediumskintone,Positive,0.84928894
444,2023-07-11,20:50:22,tan facil usar confiables heybanco cuales,so easy to use reliable heybanco which,so easy to use reliable heybanco which,Positive,0.89752614
445,2023-07-11,03:16:37,llego ajolotarjeta encanto aca dejo unboxing vean mas detalles nuevo diseno,I arrive in charm here I leave aboxing see more details new design,I arrive in charm here I leave aboxing see more details new design,Neutral,0.8243349
446,2023-07-11,01:51:29,voy pedir mia preciosa tarjeta thumbsupsmilingfacewithhearts,I'm going to ask for my precious ThumbsupsMilingFacewithhearts card,I'm going to ask for my precious ThumbsupsMilingFacewithhearts card,Positive,0.59487355
447,2023-07-13,18:28:34,invitamos ser pae klar comiences disfrutar beneficios grinningfacesmilingface,"We invite you to be Pae Klar, you beg","We invite you to be Pae Klar, you beg",Positive,0.5721893
448,2023-07-13,05:36:30,gracias mande correo,Thank you send mail,Thank you send mail,Positive,0.8029945
449,2023-07-14,22:08:32,gracias repoe exacto pague cc,Thanks Repoe exactly pay CC,Thanks Repoe exactly pay CC,Neutral,0.6588427
450,2023-07-14,20:26:17,realmente dan servicio cliente medio,They really give medium customer service,They really give medium customer service,Positive,0.69219685
451,2023-07-14,18:55:12,i highly recommend you tobackhandindexpointingrightlegithhacks on instagram helped out when i had same issues,i highly recommend you tobackhandindexpointingrightlegithhacks on instagram helped out when i had same issues,i highly recommend you tobackhandindexpointingrightlegithhacks on instagram helped out when i had same issues,Positive,0.87565196
452,2023-07-15,17:01:34,bueno gracias atentos tambien chequen nivel empatia clientes todas formas victoryhand,Well thank you attentive to also check levels Empatia Customers Any Form Victorynd,Well thank you attentive to also check levels Empatia Customers Any Form Victorynd,Positive,0.719561
453,2023-07-15,04:58:58,dato tan interesante dado conoces,such interesting data you know,such interesting data you know,Positive,0.8730704
454,2023-07-15,02:54:54,huy tambien stori mercado credito 10 estan mandando sms notificaciones via app whats,Huy also Stori Market Credit 10 are sending SMS notifications via app whats,Huy also Stori Market Credit 10 are sending SMS notifications via app whats,Neutral,0.92187744
455,2023-07-16,15:27:21,gracias conteste,Thanks answer,Thanks answer,Positive,0.5606181
456,2023-07-17,23:51:26,muy bien solicite si otorgaron elegi diseno ajolotito smilingfacewithsunglasses,very well request whether they granted chosi design ajolotito smilingfacewithsunglasses,very well request whether they granted chosi design ajolotito smilingfacewithsunglasses,Neutral,0.745404
457,2023-07-18,18:15:18,gracias,gracias,gracias,Neutral,0.6270798
458,2023-07-18,17:01:27,this web3 developers mev strategy is the real deal earning him over 5 eth per week and taking his crypto earnings to new heights,this web3 developers mev strategy is the real deal earning him over 5 eth per week and taking his crypto earnings to new heights,this web3 developers mev strategy is the real deal earning him over 5 eth per week and taking his crypto earnings to new heights,Positive,0.89489853
459,2023-07-18,14:13:39,buenos gracias atencion llame servicio cliente bien aparece muchas gracias eyes,Good thanks call customer service well appears thank you very much eyes,Good thanks call customer service well appears thank you very much eyes,Positive,0.97845125
460,2023-07-18,05:07:34,buena noche mayo pedi ceificado regalo amazon heycoins viendo pedido aparece procesando algun estimado procesan pedidos muchas gracias,good night May Pedi Certificate Amazon Hey Coins Gift Seeing A request is processed by any estimated orders thank you very much,good night May Pedi Certificate Amazon Hey Coins Gift Seeing A request is processed by any estimated orders thank you very much,Positive,0.9572746
461,2023-07-19,23:03:01,toman enserio perooo nunca dejare usar cheems videos hoy video cana...,They take seriously but I will never let cheems videos today video Cana ...,They take seriously but I will never let cheems videos today video Cana ...,Negative,0.6986284
462,2023-07-19,19:30:02,pueden atender aqui creo problema,They can attend here I think a problem,They can attend here I think a problem,Neutral,0.6211486
463,2023-07-19,16:56:45,esperemos responda sinceramente problemas hace buen banco muchas gracias,"Hopefully I sincerely answer problems, thank you very much","Hopefully I sincerely answer problems, thank you very much",Positive,0.9109147
464,2023-07-19,03:18:39,mejor banco heybanco mucha diferencia nk,Best Heybanco Bank Much Difference NK,Best Heybanco Bank Much Difference NK,Positive,0.7374775
465,2023-07-21,18:19:03,si distintas cuentas siempre apoyado llega pasar ahora heybanco bbva sido mejores experiencias,"If different accounts always supported, heybanco bbva now has been better experiences","If different accounts always supported, heybanco bbva now has been better experiences",Positive,0.5868827
466,2023-07-21,18:17:46,recomiendo heybanco,I recommend Heybanco,I recommend Heybanco,Positive,0.8533446
467,2023-07-21,04:46:51,gracias explicaron muy amables,Thanks they explained very friendly,Thanks they explained very friendly,Positive,0.95845443
468,2023-07-22,23:11:44,buena experiencia heybanco 1 cashback compras fisicas 2 compras online app facil usar permite inveir 10 anual renovando cada 7 actualmente utilizo cubrir gasto mensual contento,Good Heybanco 1 Cashback PHYSICAL PURCHASE 2 PURCHASED ONLINE ONLOUSE APP Use allows you to invent 10 Annual renewing every 7 I currently use to cover a happy monthly expense,Good Heybanco 1 Cashback PHYSICAL PURCHASE 2 PURCHASED ONLINE ONLOUSE APP Use allows you to invent 10 Annual renewing every 7 I currently use to cover a happy monthly expense,Positive,0.8952654
469,2023-07-22,11:32:23,menos mes logre desbloquear grandes beneficios gracias brindar herramienta promover e...,Less month manages to unlock great benefits thanks to provide tool to promote e ...,Less month manages to unlock great benefits thanks to provide tool to promote e ...,Positive,0.9267811
470,2023-07-23,22:10:43,enserio wow muchas gracia spor respuesta minutos mas termino abrir cuenta,seriously wow many grace spor answer minutes more ended up open account,seriously wow many grace spor answer minutes more ended up open account,Positive,0.72869766
471,2023-07-23,22:09:50,ilimitadas puedes hacer todas quieras plazos gustes mejores rendimientos ofrecemos mejor plataforma digital permite libead financiera,unlimited you can do all you want deadlines better yields we offer better digital platform allows financial liberated,unlimited you can do all you want deadlines better yields we offer better digital platform allows financial liberated,Positive,0.8187651
472,2023-07-23,17:54:30,gracias contestefoldedhandsfoldedhandsfoldedhands,gracias contestefoldedhandsfoldedhandsfoldedhands,gracias contestefoldedhandsfoldedhandsfoldedhands,Neutral,0.834975
473,2023-07-24,23:22:43,thanks for the rec i loved the idea of having digital bank thats pa of the multired consoium of atms but i guess it was not to be facewithrollingeyes,thanks for the rec i loved the idea of having digital bank thats pa of the multired consoium of atms but i guess it was not to be facewithrollingeyes,thanks for the rec i loved the idea of having digital bank thats pa of the multired consoium of atms but i guess it was not to be facewithrollingeyes,Positive,0.93092126
474,2023-07-24,19:58:54,gracias,gracias,gracias,Neutral,0.6270798
475,2023-07-27,00:01:54,puedes empezar tarjetas credito garantizadas personas historial stori heybanco seria mejorcito recibir nomina tambien ayuda mucho bancos tradicionales c,You can start guaranteed credit cards people history stori heybanco it would be better,You can start guaranteed credit cards people history stori heybanco it would be better,Neutral,0.5380026
476,2023-07-28,22:43:10,hoygan tdc coo 17723 fecha limite pago proximo jueves 3 supone mientras pague fecha problema correcto,Hoygan TDC COO 17723 Date limit payment proximal Thursday 3 supposes while paying the correct problem,Hoygan TDC COO 17723 Date limit payment proximal Thursday 3 supposes while paying the correct problem,Neutral,0.86487657
477,2023-07-28,21:02:59,yap,yap,yap,Neutral,0.5113659
478,2023-07-28,20:31:24,dame telefono servicio cliente,GIVE ME TELEPHONE CUSTOMER SERVICE,GIVE ME TELEPHONE CUSTOMER SERVICE,Neutral,0.54356104
479,2023-07-29,18:04:22,tomalo lado amable proximo recibo gratis heheheheh,Take you sides Amable proximo Receip FREE HEHEHEHEH,Take you sides Amable proximo Receip FREE HEHEHEHEH,Neutral,0.6246323
480,2023-07-29,05:56:41,verdad si,Truth yes,Truth yes,Neutral,0.5680048
481,2023-07-30,18:08:07,muchas gracias,thank you so much,thank you so much,Positive,0.9779764
482,2023-08-01,20:01:28,gracias seguimiento quedo resuelto problema ustedes,Thanks follow -up I am solved problem,Thanks follow -up I am solved problem,Positive,0.82796186
483,2023-08-01,17:48:12,excelente servicio cieo dato cualquier cosa di datos bancarios pues uso comun cuenta digital heybanco utilizo mas ahi llegando transferencias adjunto evidencia,Excellent CIEO service anything I gave bank data because I use a HEYBANCO Digital Account I use more there arriving Transfers Deputy Evidence,Excellent CIEO service anything I gave bank data because I use a HEYBANCO Digital Account I use more there arriving Transfers Deputy Evidence,Positive,0.8156621
484,2023-08-01,14:15:42,quedo solucionado muchas gracias,I am solved thank you very much,I am solved thank you very much,Positive,0.9503284
485,2023-08-01,04:41:41,recomiendo x10000 heybanco,I recommend X10000 Heybanco,I recommend X10000 Heybanco,Positive,0.83444494
486,2023-08-02,16:57:52,gracias respondi mensaje,Thank you answered message,Thank you answered message,Positive,0.931961
487,2023-08-02,04:21:34,estaria super hacen,They would be super do,They would be super do,Positive,0.69294906
488,2023-08-04,23:36:52,facil abre cuenta bancaria nuevos bancos digitales recomiendo mucho mas integrado sistema bancario simplemente fintech,Easy Bank Account New Digital Banks I recommend much more integrated banking system simply Fintech,Easy Bank Account New Digital Banks I recommend much more integrated banking system simply Fintech,Positive,0.6593495
489,2023-08-04,00:38:53,recuerdo creo rapido,I remember I think quickly,I remember I think quickly,Neutral,0.72263247
490,2023-08-05,23:09:34,buenas tardes ayudan confirmar monto maximo transferir cuenta hey puedo modificar limites favor gracias,Good afternoon help confirm maximum amount transfer account hey can modify limits please thanks,Good afternoon help confirm maximum amount transfer account hey can modify limits please thanks,Positive,0.56996614
491,2023-08-05,04:58:31,muchas gracias habia recomendado conocido daban prestamos salen entonces queria sugerirle opcion amable,"Thank you very much I had recommended known giving lenders, then I wanted to suggest, friendly option","Thank you very much I had recommended known giving lenders, then I wanted to suggest, friendly option",Positive,0.89660984
492,2023-08-05,01:22:22,creo acaba llegar muchas gracias,I think thank you very much,I think thank you very much,Positive,0.9614271
493,2023-08-06,23:28:23,mismo pasa mercado pago heybanco acuerdo maravilla,same passes by Mercado Heybanco A agreement wonder,same passes by Mercado Heybanco A agreement wonder,Neutral,0.7722776
494,2023-08-07,22:14:52,si resolvieron gran servicio cliente,If they resolved great customer service,If they resolved great customer service,Positive,0.684093
495,2023-08-07,11:17:55,si llego 24 hrs espero llegado bien transferencia,If I arrive 24 hrs I hope you arrived well transfer,If I arrive 24 hrs I hope you arrived well transfer,Positive,0.6547987
496,2023-08-08,16:00:40,hice ayer saque todaa lana mejor quedo llevo tiempo problemas tambien recomiendo jalando muy bien clientes pagan ahi,"I did yesterday I took all wool better cheese I have been problems for a long time, I also recommend pulling clients pay there","I did yesterday I took all wool better cheese I have been problems for a long time, I also recommend pulling clients pay there",Neutral,0.49935
497,2023-08-09,19:43:25,muchas gracias explique situacion agradezco respuesta brevedad,"Thank you very much, I explain I appreciate response brevity","Thank you very much, I explain I appreciate response brevity",Positive,0.9671108
498,2023-08-09,15:05:31,escribi ahi ayer pelaron,I wrote there yesterday Pelaron,I wrote there yesterday Pelaron,Neutral,0.9131757
499,2023-08-10,00:03:09,hoy primer heybanco sparklestulipsparkles regreso vida oficina butterfly mil gracias kissmark,Today first hey bank sparkles tulip sparkles return life office butterfly thousand thanks Kissmark,Today first hey bank sparkles tulip sparkles return life office butterfly thousand thanks Kissmark,Positive,0.7888376
500,2023-08-12,18:47:40,fin toco boletodorado ganador starstruck senti charlie fabrica chocolates facewithhandovermouth camara solo faltan 8 200 heypoints xbox,END I play winning newsletter Starstruck Senti Charlie Fabrica FacewithhandoverMouth Camara only 8 200 heypoints Xbox are missing,END I play winning newsletter Starstruck Senti Charlie Fabrica FacewithhandoverMouth Camara only 8 200 heypoints Xbox are missing,Neutral,0.6770866
501,2023-08-12,05:53:54,release notes mensaje typo terjeta gusto actualizacion hicieron ver tarjetas,DELAY NOTES MESSAGE TYPO TERJETA Taste update,DELAY NOTES MESSAGE TYPO TERJETA Taste update,Neutral,0.91389215
502,2023-08-15,21:50:22,justo paso mismo momento final vuelve aparecer rato despues,just step final moment comes back time later,just step final moment comes back time later,Neutral,0.8444987
503,2023-08-18,18:05:07,gracias smilingfacewithsmilingeyes foldedhands,gracias smiling face with smiling eyes folded hands,gracias smiling face with smiling eyes folded hands,Positive,0.86413413
504,2023-08-18,17:18:46,sugiero encarecidamente comunique bensonhack50 instagram solucionar cualquier problema relacionado cuenta ahi rapido confiable aun puedes graficarlos whatsapp backhandindexpointingrightlightskintonebackhandindexpointingrightlightskintone,I strongly suggest communicate Bensonhack50 Instagram Solve any related problem has reliable there you can still graph the WhatsApp BackhandindindExPointingrrightllightLightSKINTEBACKHANDINDIndExPOTITINGRIGRIGLIGHTSKINTONE,I strongly suggest communicate Bensonhack50 Instagram Solve any related problem has reliable there you can still graph the WhatsApp BackhandindindExPointingrrightllightLightSKINTEBACKHANDINDIndExPOTITINGRIGRIGLIGHTSKINTONE,Positive,0.53608215
505,2023-08-19,15:02:37,muchas gracias respondi dm,Thank you very much answered dm,Thank you very much answered dm,Positive,0.97779685
506,2023-08-22,00:52:31,comunidarks recomendaron rappicard heybanco uso mas heybanco recompensas anualidad ademas da tarjeta dual entonces credito debito rappicard uso cosas mas especificas ej ticketmaster acepta problema,COMMUNIARKS recommended rappeard heybanco use more heybanco rewards Annuality also gives dual card then credit debit rappicard use more specific things exEcketmaster accepts problem,COMMUNIARKS recommended rappeard heybanco use more heybanco rewards Annuality also gives dual card then credit debit rappicard use more specific things exEcketmaster accepts problem,Neutral,0.71117324
507,2023-08-23,17:41:15,quedo resuelto favorablemente queja gracias,I am resolved favorably complaints thanks,I am resolved favorably complaints thanks,Positive,0.7714319
508,2023-08-25,19:20:41,guen servicio traen siemrpe resuelven bien 1010 smilingfacesmilingface,Guen service bring always solve 1010 smilingfacesmilingface,Guen service bring always solve 1010 smilingfacesmilingface,Positive,0.5949203
509,2023-08-25,02:12:59,resolvieron cargo reconocido tarjeta siempre dicen pueden ser varios proceso tardo semana,They resolved recognized card always say they can be several last week process,They resolved recognized card always say they can be several last week process,Neutral,0.84442073
510,2023-08-28,21:22:10,muchas gracias lleno datos heybanco,Thank you very full heybanco data,Thank you very full heybanco data,Positive,0.958738
511,2023-08-28,17:12:16,muchisimas gracias compair redheart raisinghands,muchisimas gracias compare red hart raising hands,muchisimas gracias compare red hart raising hands,Neutral,0.83723104
